Epoch 1/10 | Train Acc: 0.347500 | Val Acc: 0.340667 | Test Acc: 0.346400 | Test F1: 0.264831
Epoch 2/10 | Train Acc: 0.417481 | Val Acc: 0.414333 | Test Acc: 0.415600 | Test F1: 0.307742
Epoch 3/10 | Train Acc: 0.522278 | Val Acc: 0.526500 | Test Acc: 0.528600 | Test F1: 0.434098
Epoch 4/10 | Train Acc: 0.606019 | Val Acc: 0.610333 | Test Acc: 0.610900 | Test F1: 0.560603
Epoch 5/10 | Train Acc: 0.667685 | Val Acc: 0.673667 | Test Acc: 0.668300 | Test F1: 0.631992
Epoch 6/10 | Train Acc: 0.741185 | Val Acc: 0.741500 | Test Acc: 0.743500 | Test F1: 0.724181
Epoch 7/10 | Train Acc: 0.793241 | Val Acc: 0.796833 | Test Acc: 0.795400 | Test F1: 0.785600
Epoch 8/10 | Train Acc: 0.833537 | Val Acc: 0.831500 | Test Acc: 0.836100 | Test F1: 0.831667
Epoch 9/10 | Train Acc: 0.852204 | Val Acc: 0.851500 | Test Acc: 0.855100 | Test F1: 0.851580
Epoch 10/10 | Train Acc: 0.865611 | Val Acc: 0.866167 | Test Acc: 0.868800 | Test F1: 0.865998
Training complete!
