Epoch 1/10 | Train Acc: 0.104481 | Val Acc: 0.103833 | Test Acc: 0.102800 | Test F1: 0.018643
Epoch 2/10 | Train Acc: 0.099426 | Val Acc: 0.098167 | Test Acc: 0.103200 | Test F1: 0.018709
Epoch 3/10 | Train Acc: 0.112370 | Val Acc: 0.112333 | Test Acc: 0.113500 | Test F1: 0.020386
Epoch 4/10 | Train Acc: 0.104481 | Val Acc: 0.103833 | Test Acc: 0.102800 | Test F1: 0.018643
Epoch 5/10 | Train Acc: 0.112370 | Val Acc: 0.112333 | Test Acc: 0.113500 | Test F1: 0.020386
Epoch 6/10 | Train Acc: 0.243704 | Val Acc: 0.241667 | Test Acc: 0.244800 | Test F1: 0.139327
Epoch 7/10 | Train Acc: 0.278500 | Val Acc: 0.276667 | Test Acc: 0.282800 | Test F1: 0.153585
Epoch 8/10 | Train Acc: 0.328130 | Val Acc: 0.335333 | Test Acc: 0.333900 | Test F1: 0.256137
Epoch 9/10 | Train Acc: 0.374722 | Val Acc: 0.367667 | Test Acc: 0.380100 | Test F1: 0.288215
Epoch 10/10 | Train Acc: 0.442111 | Val Acc: 0.447000 | Test Acc: 0.455000 | Test F1: 0.370139
Training complete!
