Epoch 1/15 | Train Acc: 0.954926 | Val Acc: 0.953000 | Test Acc: 0.951800 | Test F1: 0.951036
Epoch 2/15 | Train Acc: 0.977185 | Val Acc: 0.968500 | Test Acc: 0.970600 | Test F1: 0.970434
Epoch 3/15 | Train Acc: 0.983444 | Val Acc: 0.973333 | Test Acc: 0.972400 | Test F1: 0.972210
Epoch 4/15 | Train Acc: 0.986741 | Val Acc: 0.970000 | Test Acc: 0.974600 | Test F1: 0.974362
Epoch 5/15 | Train Acc: 0.985685 | Val Acc: 0.966667 | Test Acc: 0.971900 | Test F1: 0.971646
Epoch 6/15 | Train Acc: 0.989611 | Val Acc: 0.974500 | Test Acc: 0.974100 | Test F1: 0.974003
Epoch 7/15 | Train Acc: 0.990944 | Val Acc: 0.976000 | Test Acc: 0.975400 | Test F1: 0.975112
Epoch 8/15 | Train Acc: 0.994556 | Val Acc: 0.978333 | Test Acc: 0.977500 | Test F1: 0.977371
Epoch 9/15 | Train Acc: 0.995815 | Val Acc: 0.978500 | Test Acc: 0.977000 | Test F1: 0.976840
Epoch 10/15 | Train Acc: 0.996259 | Val Acc: 0.977833 | Test Acc: 0.978300 | Test F1: 0.978125
Epoch 11/15 | Train Acc: 0.995444 | Val Acc: 0.978167 | Test Acc: 0.977800 | Test F1: 0.977689
Epoch 12/15 | Train Acc: 0.996537 | Val Acc: 0.976833 | Test Acc: 0.975900 | Test F1: 0.975792
Epoch 13/15 | Train Acc: 0.996333 | Val Acc: 0.976667 | Test Acc: 0.977800 | Test F1: 0.977644
Epoch 14/15 | Train Acc: 0.997611 | Val Acc: 0.979667 | Test Acc: 0.977300 | Test F1: 0.977195
Epoch 15/15 | Train Acc: 0.995259 | Val Acc: 0.973000 | Test Acc: 0.976200 | Test F1: 0.976015
